WKT,latitude,longitude,brightness,scan,track,acq_date,acq_time,acq_datetime,confidence,brightness_2,frp
"POINT (121.12724 12.67501)",12.67501,121.12724,314.88,4.75,1.99,2023-04-27,126,2023/04/27 01:26:00+00,33,292.11,55.2
"POINT (125.18774 1.44899)",1.44899,125.18774,315.45,1.52,1.22,2023-04-27,130,2023/04/27 01:30:00+00,0,296.84,13.9
"POINT (128.69324 1.43828)",1.43828,128.69324,311.88,1.01,1.01,2023-04-27,130,2023/04/27 01:30:00+00,0,295.7,4.68
"POINT (127.44131 -1.45905)",-1.45905,127.44131,324.48,1.05,1.02,2023-04-27,132,2023/04/27 01:32:00+00,0,298.34,15.95
"POINT (122.16325 -2.83125)",-2.83125,122.16325,315.51,2.22,1.44,2023-04-27,132,2023/04/27 01:32:00+00,0,288.3,24.86
"POINT (133.13492 -2.44213)",-2.44213,133.13492,311.62,1.62,1.25,2023-04-27,132,2023/04/27 01:32:00+00,0,289.34,12.36
"POINT (121.24481 30.94176)",30.94176,121.24481,311.86,3.23,1.7,2023-04-27,300,2023/04/27 03:00:00+00,65,295.42,42.29
"POINT (121.24973 30.94049)",30.94049,121.24973,313.89,3.23,1.7,2023-04-27,300,2023/04/27 03:00:00+00,71,295.63,50.19
"POINT (115.93181 28.45642)",28.45642,115.93181,311.34,1.6,1.25,2023-04-27,302,2023/04/27 03:02:00+00,61,294.19,10.46
"POINT (116.12519 28.35172)",28.35172,116.12519,313.66,1.66,1.27,2023-04-27,302,2023/04/27 03:02:00+00,56,296.78,14.33
"POINT (116.11871 28.35224)",28.35224,116.11871,314.83,1.66,1.27,2023-04-27,302,2023/04/27 03:02:00+00,73,297.02,17.3
"POINT (116.40648 27.89201)",27.89201,116.40648,309.52,1.77,1.3,2023-04-27,302,2023/04/27 03:02:00+00,27,291.49,9.7
"POINT (116.40372 27.88063)",27.88063,116.40372,310.25,1.77,1.3,2023-04-27,302,2023/04/27 03:02:00+00,59,292.13,12.3
